YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1905,1.28,-2.72,4.38,8.98,14.18,19.78,23.78,23.38,19.88,14.48,6.18,1.48,-0.11,9.18,22.31,13.51,11.22
1906,-4.02,-3.42,2.48,9.58,14.98,20.68,24.28,24.48,20.08,14.58,4.08,-0.72,-1.99,9.01,23.15,12.91,10.77
1907,-0.12,-3.12,3.28,10.28,14.48,19.38,23.58,25.58,21.28,15.78,6.38,-2.52,-1.32,9.35,22.85,14.48,11.34
1908,-2.92,-3.32,2.68,9.78,14.38,19.48,22.78,24.28,20.48,15.38,5.18,0.78,-2.92,8.95,22.18,13.68,10.47
1909,-1.82,-2.42,1.88,9.88,14.38,19.18,23.68,25.18,20.98,13.88,6.78,-2.22,-1.15,8.71,22.68,13.88,11.03
1910,-2.02,-2.62,2.58,9.58,14.88,18.58,22.78,24.38,19.78,15.48,7.18,-3.12,-2.29,9.01,21.91,14.15,10.70
1911,-3.92,-0.52,3.88,9.28,15.58,19.38,22.98,25.28,21.48,13.38,7.28,-1.92,-2.52,9.58,22.55,14.05,10.91
1912,-3.42,1.68,4.48,9.78,14.68,20.38,23.28,24.68,19.08,12.68,2.88,-1.82,-1.22,9.65,22.78,11.55,10.69
1913,-4.31,-3.32,1.78,10.48,13.78,18.88,21.48,23.78,20.38,14.38,6.58,-0.72,-3.15,8.68,21.38,13.78,10.17
1914,-1.32,0.88,5.08,9.88,16.68,20.48,25.28,25.38,21.18,15.08,7.28,-0.02,-0.39,10.55,23.71,14.51,12.10
1915,-3.42,-2.62,0.88,8.98,14.88,19.68,24.28,24.48,19.98,15.88,7.58,2.17,-2.02,8.25,22.81,14.48,10.88
1916,0.57,-0.43,0.57,10.17,13.87,18.97,22.87,25.27,19.77,14.07,7.37,-0.24,0.77,8.20,22.37,13.74,11.27
1917,-7.74,-3.14,2.96,9.66,13.26,20.16,24.96,24.96,20.76,15.06,4.66,-4.65,-3.71,8.63,23.36,13.49,10.44
1918,-5.65,0.65,4.45,10.55,14.05,18.65,22.65,24.75,20.35,14.55,5.75,-0.55,-3.22,9.68,22.02,13.55,10.51
1919,-4.45,-1.45,4.65,9.55,15.65,20.25,25.05,26.05,20.55,14.25,7.15,-1.56,-2.15,9.95,23.78,13.98,11.39
1920,-5.06,-3.36,5.04,10.04,16.44,20.54,24.54,25.04,21.34,16.44,8.24,-0.37,-3.33,10.51,23.37,15.34,11.47
1921,-1.87,-0.57,2.93,10.43,15.33,19.33,23.33,25.33,20.63,13.83,4.73,0.42,-0.94,9.56,22.66,13.06,11.09
1922,-6.98,0.72,2.82,11.52,15.42,20.82,23.22,25.72,21.22,15.52,4.72,-2.28,-1.95,9.92,23.25,13.82,11.26
1923,-4.98,-2.68,4.32,8.62,15.52,19.72,23.22,25.92,19.92,13.82,5.82,-1.29,-3.31,9.49,22.95,13.19,10.58
1924,-1.59,-1.59,1.11,10.21,15.31,20.21,24.41,26.51,21.11,14.01,4.71,-0.50,-1.49,8.88,23.71,13.28,11.09
1925,-2.90,-2.40,1.80,9.00,15.40,19.70,23.00,25.00,20.70,14.60,8.50,-0.91,-1.93,8.73,22.57,14.60,10.99
1926,-3.51,-1.80,3.29,8.89,16.09,19.69,23.39,25.39,21.09,12.59,7.89,-3.31,-2.07,9.42,22.82,13.86,11.01
1927,-3.71,-2.81,3.29,11.09,13.49,19.99,24.49,25.39,20.79,14.19,9.19,-1.22,-3.28,9.29,23.29,14.72,11.01
1928,-4.82,-2.42,3.78,11.18,15.58,20.48,24.08,25.58,20.68,13.68,5.98,-1.23,-2.82,10.18,23.38,13.45,11.05
1929,-4.53,-2.73,3.87,9.37,15.37,21.27,25.07,26.07,19.77,13.97,6.17,1.57,-2.83,9.54,24.14,13.30,11.04
1930,-4.23,0.67,5.97,11.77,15.87,19.97,24.77,26.17,20.27,15.17,3.77,0.06,-0.66,11.20,23.64,13.07,11.81
1931,-3.54,-2.94,4.36,8.26,15.56,19.76,21.86,24.76,20.56,13.26,8.46,0.85,-2.14,9.39,22.13,14.09,10.87
1932,0.15,-1.55,2.65,9.15,15.85,20.15,24.95,25.35,20.65,13.65,6.95,1.14,-0.18,9.22,23.48,13.75,11.57
1933,-5.36,-2.76,0.94,9.94,15.64,20.64,25.44,24.44,20.84,14.14,6.64,1.44,-2.33,8.84,23.51,13.87,10.97
1934,-6.86,-1.36,2.44,9.04,16.24,19.84,23.64,24.54,20.34,13.14,5.74,1.63,-2.26,9.24,22.67,13.07,10.68
1935,-1.97,0.33,5.53,10.43,15.83,20.23,24.13,25.53,21.33,15.73,7.43,-2.98,-0.00,10.60,23.30,14.83,12.18
1936,-7.48,-3.68,0.12,8.82,15.02,20.32,23.22,23.22,21.02,14.62,6.82,0.41,-4.71,7.99,22.25,14.15,9.92
1937,-2.69,0.51,3.71,10.61,15.51,21.31,24.41,27.11,21.11,14.71,8.31,-2.59,-0.59,9.94,24.28,14.71,12.09
1938,-5.49,-2.69,4.51,11.11,16.11,19.51,24.81,26.61,20.01,15.61,6.51,-1.40,-3.59,10.58,23.64,14.04,11.17
1939,-4.10,-1.40,4.40,11.00,15.00,20.00,27.00,27.00,21.40,14.90,7.20,0.49,-2.30,10.13,24.67,14.50,11.75
1940,-6.21,-2.11,3.79,9.19,15.29,19.09,22.99,23.99,19.89,15.59,7.89,1.08,-2.61,9.42,22.02,14.46,10.82
1941,-2.42,-1.72,3.78,9.58,15.98,20.38,23.38,23.68,20.28,14.08,8.68,1.58,-1.02,9.78,22.48,14.35,11.40
1942,-4.92,-2.72,5.58,9.88,14.78,20.78,25.28,25.58,20.68,13.58,6.18,-0.03,-2.02,10.08,23.88,13.48,11.36
1943,-5.53,-1.43,5.17,9.97,15.67,20.37,25.47,27.47,21.27,14.77,7.37,1.06,-2.33,10.27,24.44,14.47,11.71
1944,-3.04,-1.64,3.36,9.46,14.96,20.36,24.76,25.56,21.36,14.76,8.56,-4.25,-1.21,9.26,23.56,14.89,11.63
1945,-6.55,-4.15,2.25,9.95,12.95,999.90,22.95,25.25,21.65,14.25,9.35,-0.35,-4.98,8.38,22.68,15.08,10.29
1946,-1.75,0.25,2.95,10.45,14.95,20.15,25.35,26.95,20.55,15.05,9.95,-2.76,-0.62,9.45,24.15,15.18,12.04
1947,-3.06,-4.46,1.74,10.14,14.64,17.84,22.54,25.04,20.14,12.84,4.44,-4.47,-3.43,8.84,21.81,12.47,9.92
1948,-3.37,-0.47,4.53,11.93,15.53,20.43,24.13,26.03,20.63,14.23,6.33,4.62,-2.77,10.66,23.53,13.73,11.29
1949,-1.59,2.10,4.17,10.45,16.35,20.65,25.76,27.13,22.24,15.74,8.55,-0.27,1.71,10.32,24.51,15.51,13.01
1950,-0.65,0.33,5.28,13.37,17.70,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-0.20,12.12,999.90,999.90,999.90
1951,-3.69,-1.29,3.31,9.91,16.21,20.31,24.31,26.51,19.31,14.81,6.61,1.80,-1.88,9.81,23.71,13.58,11.30
1952,-2.24,-2.59,3.41,10.68,18.15,20.75,25.32,25.06,20.46,13.99,8.55,-1.42,-1.01,10.75,23.71,14.33,11.95
1953,-4.22,-2.21,4.94,9.89,16.38,20.03,24.53,25.51,21.42,16.43,5.90,1.25,-2.62,10.40,23.36,14.58,11.43
1954,-1.07,0.82,3.40,11.53,16.43,19.61,22.07,25.90,20.94,13.60,10.19,-1.67,0.33,10.45,22.53,14.91,12.06
1955,-4.63,0.28,4.35,10.55,15.71,20.78,24.58,26.77,21.49,13.89,7.06,1.84,-2.01,10.20,24.04,14.15,11.60
1956,-2.97,-2.47,3.93,9.42,15.16,19.37,23.94,25.13,21.22,13.94,4.30,-4.26,-1.20,9.50,22.81,13.15,11.07
1957,-2.82,-3.65,0.45,10.25,16.21,19.66,22.22,24.31,19.59,13.47,9.40,0.42,-3.58,8.97,22.06,14.15,10.40
1958,-5.03,-0.22,3.77,10.71,16.08,21.75,25.46,24.39,20.38,13.81,7.48,4.90,-1.61,10.19,23.87,13.89,11.58
1959,-4.25,2.58,6.29,10.50,17.59,20.31,24.31,26.21,21.47,16.00,6.51,1.50,1.08,11.46,23.61,14.66,12.70
1960,-2.89,1.71,6.32,10.32,15.89,20.20,24.45,26.39,21.23,15.79,7.87,-1.13,0.11,10.84,23.68,14.96,12.40
1961,-4.67,-0.55,5.24,10.76,16.48,20.96,25.57,26.68,21.51,15.95,9.42,0.25,-2.12,10.83,24.40,15.63,12.19
1962,-2.30,-0.08,3.40,9.24,16.18,20.31,25.48,25.19,20.56,14.49,6.95,2.09,-0.71,9.61,23.66,14.00,11.64
