
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:월자료 , 기간 : 2008년01월 ~ 2020년 월

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2008-04,
108,서울,2008-05,63
108,서울,2008-06,42
108,서울,2008-07,37
108,서울,2008-08,27
108,서울,2008-09,40
108,서울,2008-10,60
108,서울,2008-11,46
108,서울,2008-12,62
108,서울,2009-01,57
108,서울,2009-02,81
108,서울,2009-03,59
108,서울,2009-04,63
108,서울,2009-05,56
108,서울,2009-06,47
108,서울,2009-07,39
108,서울,2009-08,31
108,서울,2009-09,39
108,서울,2009-10,49
108,서울,2009-11,43
108,서울,2009-12,68
108,서울,2010-01,56
108,서울,2010-02,47
108,서울,2010-03,60
108,서울,2010-04,46
108,서울,2010-05,55
108,서울,2010-06,48
108,서울,2010-07,30
108,서울,2010-08,33
108,서울,2010-09,27
108,서울,2010-10,38
108,서울,2010-11,69
108,서울,2010-12,64
108,서울,2011-01,44
108,서울,2011-02,74
108,서울,2011-03,67
108,서울,2011-04,56
108,서울,2011-05,76
108,서울,2011-06,48
108,서울,2011-07,35
108,서울,2011-08,33
108,서울,2011-09,32
108,서울,2011-10,39
108,서울,2011-11,36
108,서울,2011-12,41
108,서울,2012-01,55
108,서울,2012-02,47
108,서울,2012-03,43
108,서울,2012-04,49
108,서울,2012-05,48
108,서울,2012-06,37
108,서울,2012-07,27
108,서울,2012-08,24
108,서울,2012-09,28
108,서울,2012-10,34
108,서울,2012-11,42
108,서울,2012-12,40
108,서울,2013-01,62
108,서울,2013-02,44
108,서울,2013-03,55
108,서울,2013-04,54
108,서울,2013-05,57
108,서울,2013-06,43
108,서울,2013-07,
108,서울,2013-08,41
108,서울,2013-09,33
108,서울,2013-10,30
108,서울,2013-11,44
108,서울,2013-12,58
108,서울,2014-01,61
108,서울,2014-02,59
108,서울,2014-03,66
108,서울,2014-04,63
108,서울,2014-05,70
108,서울,2014-06,42
108,서울,2014-07,42
108,서울,2014-08,33
108,서울,2014-09,31
108,서울,2014-10,35
108,서울,2014-11,45
108,서울,2014-12,48
108,서울,2015-01,51
108,서울,2015-02,91
108,서울,2015-03,73
108,서울,2015-04,47
108,서울,2015-05,46
108,서울,2015-06,34
108,서울,2015-07,29
108,서울,2015-08,32
108,서울,2015-09,26
108,서울,2015-10,42
108,서울,2015-11,32
108,서울,2015-12,43
108,서울,2016-01,47
108,서울,2016-02,42
108,서울,2016-03,60
108,서울,2016-04,64
108,서울,2016-05,49
108,서울,2016-06,41
108,서울,2016-07,29
108,서울,2016-08,30
108,서울,2016-09,30
108,서울,2016-10,34
108,서울,2016-11,46
108,서울,2016-12,42
108,서울,2017-01,47
108,서울,2017-02,41
108,서울,2017-03,51
108,서울,2017-04,51
108,서울,2017-05,59
108,서울,2017-06,36
108,서울,2017-07,30
108,서울,2017-08,20
108,서울,2017-09,32
108,서울,2017-10,29
108,서울,2017-11,36
108,서울,2017-12,43
108,서울,2018-01,42
108,서울,2018-02,44
108,서울,2018-03,42
108,서울,2018-04,47
108,서울,2018-05,45
108,서울,2018-06,31
108,서울,2018-07,22
108,서울,2018-08,20
108,서울,2018-09,19
108,서울,2018-10,27
108,서울,2018-11,51
108,서울,2018-12,46
108,서울,2019-01,68
108,서울,2019-02,61
108,서울,2019-03,68
108,서울,2019-04,38
108,서울,2019-05,46
108,서울,2019-06,26
108,서울,2019-07,26
108,서울,2019-08,25
108,서울,2019-09,24
108,서울,2019-10,27
108,서울,2019-11,40
108,서울,2019-12,48
108,서울,2020-01,47

